date,kick_off,home_team,away_team,league,country,home_odds,draw_odds,away_odds,followed_league,has_picks,pick_count,top_pick_markets
2025-09-11,18:00,Godoy Cruz Res.,Instituto Res.,Reserve League,Argentina,2.55,3.1,2.62,No,No,0,None
2025-09-11,18:00,Independiente Res.,San Lorenzo Res.,Reserve League,Argentina,2.2,3.25,3.0,No,No,0,None
2025-09-11,18:00,Mostaganem,MB Rouisset,Ligue 1,Algeria,1.67,3.0,5.5,No,No,0,None
2025-09-11,18:00,Queimadense,Confianca PB,Paraibano 2,Brazil,2.0,3.0,3.0,No,No,0,None
2025-09-11,18:00,Miramar,Guarabira,Paraibano 2,Brazil,2.0,3.0,3.0,No,No,0,None
2025-09-11,18:00,Defensores Glew,SAT Moreno,Torneo Promocional Amateur,Argentina,2.0,3.0,3.0,No,No,0,None
2025-09-11,18:00,Estrella de Berisso,Belgrano Zarate,Torneo Promocional Amateur,Argentina,2.0,3.0,3.0,No,No,0,None
2025-09-11,18:00,Ezeiza,Atletico Pilar,Torneo Promocional Amateur,Argentina,2.0,3.0,3.0,No,No,0,None
2025-09-11,18:00,Nautico Hacoaj,Everton La Plata,Torneo Promocional Amateur,Argentina,2.0,3.0,3.0,No,No,0,None
2025-09-11,18:00,Deportivo Metalurgico,Provincial,Torneo Promocional Amateur,Argentina,2.0,3.0,3.0,No,No,0,None
2025-09-11,18:30,Roma W,Sporting CP W,UEFA Champions League Women,World,2.0,3.0,3.0,No,No,0,None
2025-09-11,18:30,Remo U20,CRT-23 Benevides U20,Paraense U20,Brazil,2.0,3.0,3.0,No,No,0,None
2025-09-11,18:30,Sport Belem U20,Tiradentes PA U20,Paraense U20,Brazil,2.0,3.0,3.0,No,No,0,None
2025-09-11,20:30,Guayaquil City FC,San Antonio,Liga Pro Serie B,Ecuador,1.67,3.25,5.25,No,No,0,None
2025-09-11,20:30,Leones del Norte,Gualaceo SC,Liga Pro Serie B,Ecuador,1.95,3.0,3.8,No,No,0,None
2025-09-11,22:00,Atlético Tucumán Res.,River Plate Res.,Reserve League,Argentina,2.62,3.0,2.62,No,No,0,None
2025-09-11,22:00,Sabugy,São Paulo Crystal,Paraibano 2,Brazil,2.0,3.0,3.0,No,No,0,None
2025-09-11,22:30,Cruzeiro,Atletico-MG,Copa Do Brasil,Brazil,2.2,3.0,3.8,No,No,0,None
2025-09-11,23:00,Belgrano Cordoba,San Martin S.J.,Liga Profesional Argentina,Argentina,2.1,2.9,4.33,No,No,0,None
2025-09-11,23:00,Querétaro W,Puebla W,Liga MX Femenil,Mexico,1.67,4.1,3.9,No,No,0,None
2025-09-11,23:00,Moca,Salcedo,Liga Mayor,Dominican-Republic,2.0,3.0,3.0,No,No,0,None
2025-09-11,23:00,Serrano PB,Atlético Cajazeirense,Paraibano 2,Brazil,2.0,3.0,3.0,No,No,0,None
2025-09-11,23:00,Cruzeiro PB,Spartax,Paraibano 2,Brazil,2.0,3.0,3.0,No,No,0,None
2025-09-11,23:30,Club Nacional,Plaza Colonia,Copa Uruguay,Uruguay,2.0,3.0,3.0,No,No,0,None
2025-09-11,23:30,Universitario de Salto,Atlético Florida,Copa Uruguay,Uruguay,2.0,3.0,3.0,No,No,0,None
